Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Mouser
1,19,"C1, C3, C4, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C18, C19, C24, C26, C29, C31",0.1,Device:C_Small,Roland:C_DISC_200,,581-SR215E104MAT
2,4,"C2, C16, C23, C33",100/6.3,Device:CP1_Small,Roland:C_RADIAL_200_P,,ECA-0JM101B
3,1,C17,0.033,Device:C_Small,Roland:C_DISC_200,,581-SR215C333K
4,2,"C20, C30",0.0047,Device:C_Small,Roland:C_DISC_200,,581-SR215C472KAA
5,1,C21,0.018,Device:C_Small,Roland:C_DISC_200,,581-SR215C153KAR
6,1,C22,0.0039,Device:C_Small,Roland:C_DISC_200,,581-SR215C332KAR
7,1,C25,22p,Device:C_Small,Roland:C_DISC_200,,581-SR215A220KARTR1
8,1,C27,0.0068,Device:C_Small,Roland:C_DISC_200,,581-SR215C682KAR
9,1,C28,0.027,Device:C_Small,Roland:C_DISC_200,,581-SR211E273M
10,3,"C32, C5A1, C5B1",15p,Device:C_Small,Roland:C_DISC_200,,581-SR211A150KAR
11,2,"D1, D2",?,Device:D_Small_ALT,Roland:D_200,,512-1N4148
12,7,"FL1, FL2, FL3, FL4, FL5, FL6, FL7",EMI_Filter_C,Device:EMI_Filter_C,Roland:FILT_200,,652-EMI101T-RC
13,1,IC1,LC3517 (or HY6116AP-10),Roland:LC3517,Active:DIP254P1524X635-24,,
14,1,IC2,HG62E08,Roland:HG62E08,Roland:TQFP-64,,
15,1,IC3,HD6801VD855P,Roland:HD6801VD855P,Active:DIP254P1524X635-40,,
16,2,"IC4, IC6",74LS05,RolandMpuImc-rescue:74LS05,Active:DIP254P762X635-14,,595-SN74LS05N
17,1,IC5,74LS02,RolandMpuImc-rescue:74LS02,Active:DIP254P762X635-14,,595-SN74LS02N
18,1,IC7,74LS32,RolandMpuImc-rescue:74LS32,Active:DIP254P762X635-14,,595-SN74LS32N
19,1,IC8,74LS04,RolandMpuImc-rescue:74LS04,Active:DIP254P762X635-14,,595-SN74LS04N
20,1,IC9,74LS74,RolandMpuImc-rescue:74LS74,Active:DIP254P762X635-14,,SN74LS74AN
21,1,IC10,74LS138,RolandMpuImc-rescue:74LS138,Active:DIP254P762X635-16,,595-SN74LS138N
22,1,IC11,74ALS573,RolandMpuImc-rescue:74LS573,Active:DIP254P762X635-20,, 595-SN74ALS573CN
23,1,IC12,74LS86_P,Roland:74LS86_P,Active:DIP254P762X635-14,,595-SN74LS86AN
24,2,"IC13, IC15",74LS688,RolandMpuImc-rescue:74LS688,Active:DIP254P762X635-20,,595-SN74LS688N
25,1,IC14,HEF4093B,RolandMpuImc-rescue:HEF4093B,Active:DIP254P762X635-14,,595-CD4093BE
26,1,IC16,5218,RolandMpuImc-rescue:LM2904,Active:DIP254P762X635-8,,595-TLV2362IP
27,1,IRQ1,Conn_02x06_Odd_Even,RolandMpuImc-rescue:Conn_02x06_Odd_Even,Pin_Headers:Pin_Header_Straight_2x06_Pitch2.54mm,,
28,1,J1,DB9_Female_MountingHoles,RolandMpuImc-rescue:DB9_Female_MountingHoles,Roland:DE-9,,523-L77SDE09S1ACH4F
29,1,J2,BUS_MCA,Roland:BUS_MCA,Roland:BUS_MCA_ROLAND,,
30,4,"J3, J4, J5, J6",Conn_01x01,RolandMpuImc-rescue:Conn_01x01,Mounting_Holes:MountingHole_3.2mm_M3,,
31,2,"L1, L2",BL02RN2-R62,Device:L_Core_Ferrite_Small,Roland:FERR_200,,81-BL03RN2R1P1A
32,4,"Q1, Q2, Q3, Q4",2SC1815,RolandMpuImc-rescue:2SC1815,Roland:Q_200_J,,610-2SC1815
33,9,"R1, R3, R7, R8, R9, R10, R11, R13, R31",4.7K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-4K7
34,7,"R2, R22, R23, R27, R28, R29, R36",10K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-10K
35,5,"R4, R5, R17, R25, R30",33K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-33K
36,1,R6,1M,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-1M
37,1,R12,100,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-100R
38,1,R14,82K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-82K
39,1,R15,22K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-22K
40,1,R16,47K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-47K
41,2,"R18, R20",180,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-180R
42,2,"R19, R35",1K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-1K
43,1,R21,6.8K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-6K8
44,1,R24,820K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-820K
45,1,R26,470K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JR-52-470K
46,2,"R32, R33",470,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-470R
47,1,R34,100K,Device:R_Small,Roland:R_AXIAL_200,,603-CFR-12JB-52-100K
48,1,RA1,33K,Device:R_Network08,Resistors_THT:R_Array_SIP9,,652-4609X-1LF-33K
49,1,X1,Crystal,Device:Crystal,Roland:Y_200,,520-HCU400-20X
